City Parish,Total,25 - 29 anos,30 - 34 anos,35 - 39 anos,40 - 44 anos,45 - 49 anos,50 - 54 anos,55 - 59 anos,60 - 64 anos,65 - 69 anos,70 - 74 anos,75 ou mais anos,sex,year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
União das freguesias de Agualva e Mira-Sintra,51.07,73.91,78.49,79.03,79.24,80.11,78.23,70.49,47.53,15.22,3.13,0.94,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
"União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar",51.70,78.86,83.46,82.68,83.44,82.72,76.82,70.79,48.02,18.38,5.25,2.09,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
União das freguesias de Massamá e Monte Abraão,52.66,73.46,78.83,79.86,80.91,81.49,79.97,71.66,53.15,17.55,4.32,1.93,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
União das freguesias de Queluz e Belas,53.45,73.70,78.83,78.78,80.11,80.64,77.30,70.57,50.49,17.68,3.90,1.11,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
União das freguesias de São João das Lampas e Terrugem,50.86,77.26,78.92,81.51,83.08,81.78,77.62,71.02,46.39,18.02,5.09,1.02,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
"União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",51.76,71.94,77.95,80.18,79.69,80.99,79.27,71.26,53.98,21.32,5.73,1.46,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
União das freguesias do Cacém e São Marcos,58.60,77.40,79.97,81.39,82.91,83.05,81.11,72.28,48.78,16.72,2.32,1.29,HM,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Costa da Caparica,51.16,75.53,80.73,80.80,78.57,78.36,77.28,70.38,51.69,18.97,8.07,4.10,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",48.69,73.27,80.04,83.30,80.69,81.18,77.06,69.81,50,19.56,6.33,2.22,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
União das freguesias de Caparica e Trafaria,47.64,68.39,72.35,75.96,76.53,76.86,69.66,64.97,46.02,16.43,5.48,2.02,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
União das freguesias de Charneca de Caparica e Sobreda,54.15,72.61,84.23,84.97,87.24,85.89,83.50,74.28,49.29,20.93,6.31,1.38,H,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
